record_id;base_id;id;file_name;title;author;date;print_run;typography_name;production_method;original_language;text_language;is_translation;note;has_text;record_type;text_word_count;text_char_count_with_spaces;text_char_count_without_spaces;source
11;10;10;lclc-n010-LKJS_Riga_committee-1000-[1934-02-11…].txt;No LKJS Rīgas komitejas uzsaukuma tekstilstrādniekiem uzsākt vispārēju streiku Latvijas Komunistiskās partijas vadībā;LKJS Rīgas komiteja;[1934-02-11…];1000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;601;4443;3840;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 28–30.
12;11;11;lclc-n011-LKP_Riga_committee-6000-[…1934-02-12].txt;LKP Rīgas komitejas uzsaukums darbaļaudīm piedalīties sociāldemokrātu ierosinātajā tautas nobalsošanā par vecuma pensijām, apdrošināšanu vecuma un bezdarba gadījumā un nostiprināt strādnieku šķiras vienotu fronti cīņai pret fašismu;LKP Rīgas komiteja;[…1934-02-12];6000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;869;6419;5552;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 30–33.
13;12;12a;lclc-n012a-LKP_CK-unk-[…1934-02-24].txt;LKP CK uzsaukums darbaļaudīm cīnīties vienotā revolucionārā frontē par bezdarbnieku apdrošināšanu, par strādnieku un zemnieku valdību;LKP CK;[…1934-02-24];unk;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text_variant;608;4752;4139;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 33–35.
14;12;12b;lclc-n012b-LKP_Daugavpils_city_committee-1000-1934-02.txt;LKP Daugavpils pilsētas komitejas uzsaukums darbaļaudīm cīnīties vienotā revolucionārā frontē par bezdarbnieku apdrošināšanu, par strādnieku un zemnieku valdību;LKP Daugavpils pilsētas komiteja;1934-02;1000;Spartaks;rotator;Russian;Latvian;True;;TRUE;text_variant;610;4765;4150;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 33–35.
15;13;13;lclc-n013-LKJS_Riga_committee-unk-[…1934-02-24].txt;LKJS Rīgas komitejas uzsaukums ar sociāldemokrātu sastādītā projekta par nodrošināšanu bezdarba, vecuma un darba nespējas gadījumā kritiku un aicinājumu Rīgas darba jauniešiem vienotā frontē ar sociāldemokrātiskiem strādniekiem cīnīties par pilnīgu apdrošināšanu;LKJS Rīgas komiteja;[…1934-02-24];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;716;5147;4414;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 36–38.
16;14;14;lclc-n014-LKJS_CK-4000-1934-02-26.txt;No LKJS CK lapiņas jaunkareivjiem, kareivjiem un matrožiem ar brīdinājumu par imperiālistu gatavošanos jaunam pasaules karam un aicinājumu neļaut buržuāzijai izmantot armiju cīņai pret revolucionāro kustību un Padomju Savienību;LKJS CK;1934-02-26;4000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;1001;7587;6581;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 38–41.
17;15;15;lclc-n015-LKJS_CK-3000-1934-02.txt;No LKJS CK lapiņas, kas veltīta Latvijas komjaunatnes 15. gadadienai un kurā izteikts aicinājums pilsētu un lauku darba jauniešiem cīnīties par kapitālistiskās iekārtas gāšanu, par Padomju Latviju;LKJS CK;1934-02;3000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;960;7377;6392;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 42–45.
18;16;16;lclc-n016-LKP_CK-4000-[…1934-03-02].txt;LKP CK uzsaukums laukstrādniekiem organizēties cīņai par sava ekonomiskā stāvokļa uzlabošanu;LKP CK;[…1934-03-02];4000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;905;6546;5603;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 45–48.
19;17;17;lclc-n017-LKP_CK_Womens_center-5000-[…1934-03-08].txt;LKP CK Sieviešu centra lapiņa Starptautiskajai sieviešu dienai ar aicinājumu darba sievietēm cīnīties pret karu, par PSRS aizstāvēšanu;LKP CK Sieviešu centrs;[…1934-03-08];5000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;638;4538;3895;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 48–50.
20;18;18;lclc-n018-SP_CK-unk-[…1934-03-08].txt;Latvijas Sarkanās Palīdzības CK lapiņa par Starptautisko sieviešu dienu, ar aicinājumu darba sievietēm palīdzēt politieslodzītajiem un viņu ģimenēm;Latvijas Sarkanās Palīdzības CK;[…1934-03-08];unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;453;3179;2720;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 50–52.
21;19;19;lclc-n019-LKJS_CK-3500-1934-03-16.txt;No LKJS CK uzsaukuma laukstrādniekiem, laukstrādniecēm un ganiem cīnīties pret ekspluatāciju, par savu ekonomisko prasību ievērošanu;LKJS CK;1934-03-16;3500;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;819;6350;5521;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 52–55.
22;20;20;lclc-n020-LKP_Zemgales_org_Jelgava_district_committee_LKJS_Zemgales_org_Jelgava_district_committee-unk-[1934-03-16…].txt;LKP un LKJS Zemgales apgabala organizācijas Jelgavas rajona komitejas lapiņa par buržuāzijas teroru pret revolucionāro strādniecību;LKP Zemgales apgabala organizācijas Jelgavas rajona komiteja un LKJS Zemgales apgabala organizācijas Jelgavas rajona komiteja;[1934-03-16…];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;255;1792;1533;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 55–56.
23;21;21;lclc-n021-SP_CK-unk-[…1934-03-18].txt;Latvijas Sarkanās Palīdzības CK lapiņa par buržuāzijas uzbrukumu darbaļaužu politiskajām un ekonomiskajām tiesībām, ar aicinājumu cīnīties par saeimas strādnieku-zemnieku frakcijas deputātu atbrīvošanu;Latvijas Sarkanās Palīdzības CK;[…1934-03-18];unk;unk;rotator;Latvian;Latvian;False;;TRUE;text;665;4842;4171;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 56–58.
24;22;22;lclc-n022-SP_Riga_committee-unk-[…1934-03-18].txt;Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa Parīzes Komūnas atceres dienai, ar aicinājumu cīnīties pret fašisma draudiem;Latvijas Sarkanās Palīdzības Rīgas komiteja ;[…1934-03-18];unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;538;4033;3490;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 58–60.
25;23;23;lclc-n023-LKP_Ventspils_district_committee_LKJS_Ventspils_district_committee-1500-[…1934-04-05].txt;No LKP un LKJS Ventspils rajona komiteju uzsaukuma jaunkareivjiem veikt revolucionāru darbu armijā un būt gataviem aizstāvēt PSRS;LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja;[…1934-04-05];1500;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;372;2821;2445;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 60–61.
26;24;24;lclc-n024-LKJS_CK-6000-[…1934-04-19].txt;LKJS CK Pirmā Maija uzsaukums darba jaunatnei dot pretsparu buržuāzijai, nepieļaut fašistiskās diktatūras nodibināšanu Latvijā;LKJS CK;[…1934-04-19];6000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;1040;8320;7275;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 62–65.
27;25;25;lclc-n025-SP_CK-unk-[…1934-04-24].txt;Latvijas Sarkanās Palīdzības CK Pirmā Maija lapiņa, kas vēsti par izrēķināšanos ar politiskajiem ieslodzītajiem Rīgas Centrālcietumā un aicina darbaļaudis pieprasīt politieslodzīto atbrīvošanu;Latvijas Sarkanās Palīdzības CK;[…1934-04-24];unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;414;3142;2712;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 65–67.
28;26;26;lclc-n026-LKP_CK-10000-[…1934-04-27].txt;No LKP CK Pirmā Maija uzsaukuma Latvijas darbaļaudīm vienotā revolucionārā frontē cīnīties pret fašisma draudiem, par proletariāta diktatūru;LKP CK;[…1934-04-27];10000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;1004;7708;6698;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 67–70.
29;27;27;lclc-n027-LKJS_Riga_committee-3000-1934-04.txt;LKJS Rīgas komitejas Pirmā Maija uzsaukums Rīgas darba jauniešiem piedalīties 1. Maija demonstrācijā un mītiņos;LKJS Rīgas komiteja;1934-04;3000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;344;2712;2359;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 70–72.
30;28;28;lclc-n028-LKP_Ventspils_district_committee_LKJS_Ventspils_district_committee-2000-1934-04.txt;LKP un LKJS Ventspils rajona komiteju Pirmā Maija lapiņa ar aicinājumu Ventspils strādniekiem 1. Maijā demonstrēt pret kara un fašisma draudiem;LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja;1934-04;2000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;264;2080;1813;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 72–73.
31;29;29;lclc-n029-LKP_Ventspils_district_committee_LKJS_Ventspils_district_committee-500-1934-04.txt;LKP un LKJS Ventspils rajona komiteju Pirmā Maija lapiņa ar aicinājumu sociāldemokrātiskajiem strādniekiem organizēt vienotu fronti cīņā pret fašismu;LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja;1934-04;500;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;273;2137;1863;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 73–74.
32;30;30;lclc-n030-LKP_Riga_committee-10000-1934-04.txt;LKP Rīgas komitejas Pirmā Maija lapiņa ar aicinājumu strādniekiem apvienoties vienotā antifašistiskā frontē pret uzbrūkošo fašismu, par strādnieku ekonomiskajām un politiskajām prasībām;LKP Rīgas komiteja;1934-04;10000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;700;5453;4751;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 75–77.
33;31;31;lclc-n031-LKJS_Riga_org_X_district_committee-300-1934-04.txt;LKJS Rīgas organizācijas X rajona komitejas uzsaukums «Juglas manufaktūras», «Rīgas auduma» un «Rīgas manufaktūras» strādniekiem piedalīties 1. Maija demonstrācijā un kopā ar sociāldemokrātiskajiem strādniekiem cīnīties pret fašisma draudiem;LKJS Rīgas organizācijas X rajona komiteja;1934-04;300;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;362;2770;2401;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 77–78.
34;32;32;lclc-n032-LKJS_Riga_textile_factory_Merino_cell-100-1934-04.txt;Rīgas tekstilfabrikas «Merino» LKJS šūnas uzsaukums strādniekiem 1. Maija priekšvakarā sarīkot īslaicīgu streiku ar prasībām par sava stāvokļa uzlabošanu;LKJS Rīgas tekstilfabrikas «Merino» šūna;1934-04;100;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;225;1645;1416;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 79.
35;33;33;lclc-n033-LKP_CK_Womens_center-3000-[…1934-05-13].txt;LKP CK Sieviešu centra uzsaukums darba sievietēm boikotēt buržuāzijas rīkoto «mātes dienu» un cīnīties par Padomju Latviju;LKP CK Sieviešu centrs;[…1934-05-13];3000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;547;3974;3427;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 80–81.
36;34;34;lclc-n034-LKP_CK-500-[…1934-05-15].txt;LKP CK uzsaukums darbaļaudīm gatavoties uz ģenerālstreiku un bruņotu cīņu pret draudošo fašistisko apvērsumu;LKP CK;[…1934-05-15];500;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;879;6567;5681;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 82–84.
37;35;35;lclc-n035-LKP_Riga_committee-unk-[1934-05-16…].txt;LKP Rīgas komitejas uzsaukums Latvijas darbaļaudīm uzsākt ģenerālstreiku pret fašistisko diktatūru;LKP Rīgas komiteja;[1934-05-16…];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;242;1796;1554;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 84–85.
38;36;36;lclc-n036-LKP_CK_LKJS_CK-5000-1934-05-17.txt;LKP CK un LKJS CK aicinājums Latvijas darbaļaudīm Ulmaņa fašistiskajam apvērsumam atbildēt ar vispārējo ģenerālstreiku pēc pirmā Latvijas Komunistiskās partijas norādījuma;LKP CK un LKJS CK;1934-05-17;5000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;300;2342;2046;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 85–86.
39;37;37;lclc-n037-LKJS_CK-4000-1934-05-23.txt;LKJS CK aicinājums jaunatnei Latvijas Komunistiskās partijas vadībā uzsākt politisku streiku pret fašistisko apvērsumu;LKJS CK;1934-05-23;4000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;672;5153;4489;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 87–89.
40;38;38;lclc-n038-LKP_Riga_committee-unk-[…1934-05-25].txt;LKP Rīgas komitejas uzsaukums Rīgas darbaļaudīm organizēties vienotā revolucionārā frontē pret fašistisko diktatūru un gatavoties ģenerālstreikam;LKP Rīgas komiteja;[…1934-05-25];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;515;3993;3477;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 89–90.
41;39;39;lclc-n039-SP_CK-unk-[…1934-05-28].txt;Latvijas Sarkanās Palīdzības CK uzsaukums darbaļaudīm gatavoties ģenerālstreikam pret fašistisko diktatūru;Latvijas Sarkanās Palīdzības CK;[…1934-05-28];unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;283;2050;1766;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 91–92.
42;40;40;lclc-n040-LKP_Riga_committee-unk-[…1934-06-08].txt;LKP Rīgas komitejas lapiņa par fašistu uzbrukumu darbaļaužu ekonomiskajām un politiskajām tiesībām, ar aicinājumu strādniekiem gatavoties ģenerālstreikam pret fašistisko diktatūru;LKP Rīgas komiteja;[…1934-06-08];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;520;4174;3656;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 92–94.
43;41;41;lclc-n041-LKP_United_antifascist_committee-unk-[…1934-06-15].txt;LKP un Vienotas pretfašisma cīņas komitejas lapiņa par sociāldemokrātu līderu oportūnistiskās politikas bankrotu, ar aicinājumu bijušo sociāldemokrātisko organizāciju biedriem stāties Latvijas Komunistiskajā partijā un tās vadībā cīnīties par proletariāta diktatūru, par Padomju Latviju;LKP un Vienotas pretfašisma cīņas komiteja;[…1934-06-15];unk;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;509;3834;3318;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 94–95.
