file,id,title,author,date,print_run,typography_name,N_tokens,V_lemmas,TTR,RTTR,CTTR,Herdan_C,Maas_a2,Hapax,HapaxShare
revl-n010-LKJS_Riga_committee-1000-[1934-02-11…].txt,10,No LKJS Rīgas komitejas uzsaukuma tekstilstrādniekiem uzsākt vispārēju streiku Latvijas Komunistiskās partijas vadībā,LKJS Rīgas komiteja,[1934-02-11…],1000,Spartaks,593,278,0.4688026981450253,11.416091716709227,8.07239586753267,0.8813547030884441,0.01858131319074318,191,0.6870503597122302
revl-n011-LKP_Riga_committee-6000-[…1934-02-12].txt,11,"LKP Rīgas komitejas uzsaukums darbaļaudīm piedalīties sociāldemokrātu ierosinātajā tautas nobalsošanā par vecuma pensijām, apdrošināšanu vecuma un bezdarba gadījumā un nostiprināt strādnieku šķiras vienotu fronti cīņai pret fašismu",LKP Rīgas komiteja,[…1934-02-12],6000,Spartaks,842,372,0.4418052256532066,12.819966612397744,9.065085326211575,0.8787243410203521,0.018004694144289034,243,0.6532258064516129
revl-n012-LKP_CK-unk-[…1934-02-24].txt,12,"LKP CK uzsaukums darbaļaudīm cīnīties vienotā revolucionārā frontē par bezdarbnieku apdrošināšanu, par strādnieku un zemnieku valdību",LKP CK,[…1934-02-24],?,Spartaks,590,298,0.5050847457627119,12.268465846930013,8.675115395119771,0.8929442112680397,0.016779581914422134,198,0.6644295302013423
revl-n013-LKJS_Riga_committee-unk-[…1934-02-24].txt,13,"LKJS Rīgas komitejas uzsaukums ar sociāldemokrātu sastādītā projekta par nodrošināšanu bezdarba, vecuma un darba nespējas gadījumā kritiku un aicinājumu Rīgas darba jauniešiem vienotā frontē ar sociāldemokrātiskiem strādniekiem cīnīties par pilnīgu apdrošināšanu",LKJS Rīgas komiteja,[…1934-02-24],?,Spartaks,702,310,0.4415954415954416,11.700196019494156,8.273287946596168,0.875286937452775,0.019028735090689048,191,0.6161290322580645
revl-n014-LKJS_CK-4000-1934-02-26.txt,14,"No LKJS CK lapiņas jaunkareivjiem, kareivjiem un matrožiem ar brīdinājumu par imperiālistu gatavošanos jaunam pasaules karam un aicinājumu neļaut buržuāzijai izmantot armiju cīņai pret revolucionāro kustību un Padomju Savienību",LKJS CK,1934-02-26,4000,Spartaks,997,446,0.4473420260782347,14.12496172139566,9.987856217199282,0.883495893661891,0.01687303571403967,309,0.6928251121076233
revl-n015-LKJS_CK-3000-1934-02.txt,15,"No LKJS CK lapiņas, kas veltīta Latvijas komjaunatnes 15. gadadienai un kurā izteikts aicinājums pilsētu un lauku darba jauniešiem cīnīties par kapitālistiskās iekārtas gāšanu, par Padomju Latviju",LKJS CK,1934-02,3000,Spartaks,934,484,0.5182012847965739,15.83696378228926,11.19842448386249,0.9038827697632292,0.014053302340443679,354,0.731404958677686
revl-n016-LKP_CK-4000-[…1934-03-02].txt,16,LKP CK uzsaukums laukstrādniekiem organizēties cīņai par sava ekonomiskā stāvokļa uzlabošanu,LKP CK,[…1934-03-02],4000,Spartaks,899,435,0.4838709677419355,14.508062274740274,10.258749216345576,0.8932646973073173,0.015693406986844325,297,0.6827586206896552
revl-n017-LKP_CK_Womens_center-5000-[…1934-03-08].txt,17,"LKP CK Sieviešu centra lapiņa Starptautiskajai sieviešu dienai ar aicinājumu darba sievietēm cīnīties pret karu, par PSRS aizstāvēšanu",LKP CK Sieviešu centrs,[…1934-03-08],5000,Spartaks,633,300,0.47393364928909953,11.923929502757463,8.43149140979014,0.8842428693379278,0.01794553312959673,190,0.6333333333333333
revl-n018-SP_CK-unk-[…1934-03-08].txt,18,"Latvijas Sarkanās Palīdzības CK lapiņa par Starptautisko sieviešu dienu, ar aicinājumu darba sievietēm palīdzēt politieslodzītajiem un viņu ģimenēm",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-03-08],?,«Sarkanās Palīdzības» spiestuve,453,216,0.4768211920529801,10.148565291874695,7.176119337199031,0.878903404016405,0.019800315881802893,134,0.6203703703703703
revl-n019-LKJS_CK-3500-1934-03-16.txt,19,"No LKJS CK uzsaukuma laukstrādniekiem, laukstrādniecēm un ganiem cīnīties pret ekspluatāciju, par savu ekonomisko prasību ievērošanu",LKJS CK,1934-03-16,3500,Spartaks,808,414,0.5123762376237624,14.564469175917042,10.298634918673388,0.9001135430741674,0.014920536407410447,288,0.6956521739130435
revl-n020-LKP_LKJS_Zemgales_org_Jelgavas_committee-unk-[1934-03-16…].txt,20,LKP un LKJS Zemgales apgabala organizācijas Jelgavas rajona komitejas lapiņa par buržuāzijas teroru pret revolucionāro strādniecību,LKP Zemgales apgabala organizācija un LKJS Zemgales apgabala organizācija,[1934-03-16…],?,Spartaks,255,161,0.6313725490196078,10.082211086470908,7.129199828597767,0.9170118554321864,0.014976393721667128,117,0.7267080745341615
revl-n021-SP_CK-unk-[…1934-03-18].txt,21,"Latvijas Sarkanās Palīdzības CK lapiņa par buržuāzijas uzbrukumu darbaļaužu politiskajām un ekonomiskajām tiesībām, ar aicinājumu cīnīties par saeimas strādnieku-zemnieku frakcijas deputātu atbrīvošanu",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-03-18],?,?,645,348,0.5395348837209303,13.702486618671944,9.68912120718086,0.9046183395594867,0.01474385064261295,239,0.6867816091954023
revl-n022-SP_Riga_committee-unk-[…1934-03-18].txt,22,"Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa Parīzes Komūnas atceres dienai, ar aicinājumu cīnīties pret fašisma draudiem",Latvijas Sarkanās Palīdzības Rīgas komiteja,[…1934-03-18],?,«Sarkanās Palīdzības» spiestuve,534,262,0.49063670411985016,11.337848847087384,8.01706980384357,0.886623175758777,0.018052496554101613,168,0.6412213740458015
revl-n023-LKP_LKJS_Ventspils_committee-1500-[…1934-04-05].txt,23,No LKP un LKJS Ventspils rajona komiteju uzsaukuma jaunkareivjiem veikt revolucionāru darbu armijā un būt gataviem aizstāvēt PSRS,LKP un LKJS Ventspils rajona komiteja,[…1934-04-05],1500,Spartaks,371,229,0.6172506738544474,11.889087614811679,8.406854474554335,0.9184476706597555,0.013784574711483411,173,0.7554585152838428
revl-n024-LKJS_CK-6000-[…1934-04-19].txt,24,"LKJS CK Pirmā Maija uzsaukums darba jaunatnei dot pretsparu buržuāzijai, nepieļaut fašistiskās diktatūras nodibināšanu Latvijā",LKJS CK,[…1934-04-19],6000,Spartaks,1025,530,0.5170731707317073,16.55441876019224,11.705741763933732,0.9048574334286515,0.013724238257457272,388,0.7320754716981132
revl-n025-SP_CK-unk-[…1934-04-24].txt,25,"Latvijas Sarkanās Palīdzības CK Pirmā Maija lapiņa, kas vēsti par izrēķināšanos ar politiskajiem ieslodzītajiem Rīgas Centrālcietumā un aicina darbaļaudis pieprasīt politieslodzīto atbrīvošanu",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-04-24],?,«Sarkanās Palīdzības» spiestuve,407,255,0.6265356265356266,12.639880725963547,8.937745374717965,0.922189353229205,0.012949420188217016,186,0.7294117647058823
revl-n026-LKP_CK-10000-[…1934-04-27].txt,26,"No LKP CK Pirmā Maija uzsaukuma Latvijas darbaļaudīm vienotā revolucionārā frontē cīnīties pret fašisma draudiem, par proletariāta diktatūru",LKP CK,[…1934-04-27],10000,Spartaks,987,501,0.5075987841945289,15.94700570268472,11.27623587198891,0.9016538957672393,0.014264076985595895,351,0.7005988023952096
revl-n027-LKJS_Riga_committee-3000-1934-04.txt,27,LKJS Rīgas komitejas Pirmā Maija uzsaukums Rīgas darba jauniešiem piedalīties 1. Maija demonstrācijā un mītiņos,LKJS Rīgas komiteja,1934-04,3000,Spartaks,334,205,0.6137724550898204,11.217100930873947,7.9316881334749025,0.9160008310883794,0.01445484957483243,153,0.7463414634146341
revl-n028-LKP_LKJS_Ventspils_committee-2000-1934-04.txt,28,LKP un LKJS Ventspils rajona komiteju Pirmā Maija lapiņa ar aicinājumu Ventspils strādniekiem 1. Maijā demonstrēt pret kara un fašisma draudiem,LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja,1934-04,2000,Spartaks,257,159,0.6186770428015564,9.918147498673704,7.013189353120571,0.9134681386002197,0.015593922317144479,116,0.7295597484276729
revl-n029-LKP_LKJS_Ventspils_committee-500-1934-04.txt,29,LKP un LKJS Ventspils rajona komiteju Pirmā Maija lapiņa ar aicinājumu sociāldemokrātiskajiem strādniekiem organizēt vienotu fronti cīņā pret fašismu,LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja,1934-04,500,Spartaks,266,179,0.6729323308270677,10.975194176780889,7.760634227240874,0.9290569060970018,0.012705854894435813,133,0.7430167597765364
revl-n030-LKP_Riga_committee-10000-1934-04.txt,30,"LKP Rīgas komitejas Pirmā Maija lapiņa ar aicinājumu strādniekiem apvienoties vienotā antifašistiskā frontē pret uzbrūkošo fašismu, par strādnieku ekonomiskajām un politiskajām prasībām",LKP Rīgas komiteja,1934-04,10000,Spartaks,675,324,0.48,12.470765814495916,8.81816307401944,0.8873366777772822,0.017293674728060586,214,0.6604938271604939
revl-n031-LKJS_Riga_org_X_district_committee-300-1934-04.txt,31,"LKJS Rīgas organizācijas X rajona komitejas uzsaukums «Juglas manufaktūras», «Rīgas auduma» un «Rīgas manufaktūras» strādniekiem piedalīties 1. Maija demonstrācijā un kopā ar sociāldemokrātiskajiem strādniekiem cīnīties pret fašisma draudiem",LKJS Rīgas organizācijas X rajona komiteja,1934-04,300,Spartaks,349,212,0.6074498567335244,11.348099824530411,8.024318339507325,0.9148625919281781,0.014540796287912525,147,0.6933962264150944
revl-n032-LKJS_Riga_textile_factory_Merino_cell-100-1934-04.txt,32,Rīgas tekstilfabrikas «Merino» LKJS šūnas uzsaukums strādniekiem 1. Maija priekšvakarā sarīkot īslaicīgu streiku ar prasībām par sava stāvokļa uzlabošanu,LKJS «Merino» Rīgas tekstilfabrikas šūna,1934-04,100,Spartaks,224,152,0.6785714285714286,10.155927192672127,7.181324987175317,0.9283461025918643,0.013240684390948594,123,0.8092105263157895
revl-n033-LKP_CK_Womens_center-3000-[…1934-05-13].txt,33,LKP CK Sieviešu centra uzsaukums darba sievietēm boikotēt buržuāzijas rīkoto «mātes dienu» un cīnīties par Padomju Latviju,LKP CK Sieviešu centrs,[…1934-05-13],3000,Spartaks,538,295,0.5483271375464684,12.718353099997193,8.993233722532961,0.9044375445037836,0.01519793337936623,217,0.735593220338983
revl-n034-LKP_CK-500-[…1934-05-15].txt,34,LKP CK uzsaukums darbaļaudīm gatavoties uz ģenerālstreiku un bruņotu cīņu pret draudošo fašistisko apvērsumu,LKP CK,[…1934-05-15],500,Spartaks,872,431,0.49426605504587157,14.595501694863751,10.320578223257906,0.89592331267653,0.015371425812764882,298,0.691415313225058
revl-n035-LKP_Riga_committee-unk-[1934-05-16…].txt,35,LKP Rīgas komitejas uzsaukums Latvijas darbaļaudīm uzsāki ģenerālstreiku pret fašistisko diktatūru,LKP Rīgas komiteja,[1934-05-16…],?,Spartaks,236,149,0.6313559322033898,9.699073868071379,6.858280903342509,0.9158309560962051,0.015404764807433587,113,0.7583892617449665
revl-n036-LKP_CK_LKJS_CK-5000-1934-05-17.txt,36,LKP CK un LKJS CK aicinājums Latvijas darbaļaudīm Ulmaņa fašistiskajam apvērsumam atbildēt ar vispārējo ģenerālstreiku pēc pirmā Latvijas Komunistiskās partijas norādījuma,LKP CK un LKJS CK,1934-05-17,5000,Spartaks,294,185,0.6292517006802721,10.789419105116378,7.629271414291484,0.9184978550099139,0.01433993157946813,139,0.7513513513513513
revl-n037-LKJS_CK-4000-1934-05-23.txt,37,LKJS CK aicinājums jaunatnei Latvijas Komunistiskās partijas vadībā uzsākt politisku streiku pret fašistisko apvērsumu,LKJS CK,1934-05-23,4000,Spartaks,657,339,0.5159817351598174,13.225649633162755,9.351946541206758,0.8980092265253825,0.015720675233878063,250,0.7374631268436578
revl-n038-LKP_Riga_committee-unk-[…1934-05-25].txt,38,LKP Rīgas komitejas uzsaukums Rīgas darbaļaudīm organizēties vienotā revolucionārā frontē pret fašistisko diktatūru un gatavoties ģenerālstreikam,LKP Rīgas komiteja,[…1934-05-25],?,Spartaks,504,289,0.5734126984126984,12.873083152115107,9.102644391638888,0.9106239030266945,0.014363198315768794,205,0.7093425605536332
revl-n039-SP_CK-unk-[…1934-05-28].txt,39,Latvijas Sarkanās Palīdzības CK uzsaukums darbaļaudīm gatavoties ģenerālstreikam pret fašistisko diktatūru,Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-05-28],?,«Sarkanās Palīdzības» spiestuve,279,174,0.6236559139784946,10.417107517552944,7.36600736601105,0.9161536626750484,0.014889572719609617,134,0.7701149425287356
revl-n040-LKP_Riga_committee-unk-[…1934-06-08].txt,40,"LKP Rīgas komitejas lapiņa par fašistu uzbrukumu darbaļaužu ekonomiskajām un politiskajām tiesībām, ar aicinājumu strādniekiem gatavoties ģenerālstreikam pret fašistisko diktatūru",LKP Rīgas komiteja,[…1934-06-08],?,Spartaks,515,272,0.5281553398058253,11.985752059307105,8.475206558756678,0.8977662121267319,0.016372686620916715,188,0.6911764705882353
revl-n041-LKP_United_antifascist_committee-unk-[…1934-06-15].txt,41,"LKP un Vienotas pretfašisma cīņas komitejas lapiņa par sociāldemokrātu līderu oportūnistiskās politikas bankrotu, ar aicinājumu bijušo sociāldemokrātisko organizāciju biedriem stāties Latvijas Komunistiskajā partijā un tās vadībā cīnīties par proletariāta diktatūru, par Padomju Latviju",LKP un Vienotas pretfašisma cīņas komiteja,[…1934-06-15],?,Spartaks,499,254,0.5090180360721442,11.370601618310468,8.040229510478063,0.8913061896528792,0.01749568678134139,178,0.7007874015748031
revl-n042-LKJS_Riga_org_IV_district_X_cell-unk-1934-07-10.txt,42,"LKJS Rīgas organizācijas IV rajona X šūnas lapiņa par strādnieku darba algu pazemināšanu, ar aicinājumu Komunistiskās partijas vadībā cīnīties pret Ulmaņa fašistisko diktatūru",LKJS Rīgas organizācijas IV rajona X šūna,1934-07-10,?,?,291,188,0.6460481099656358,11.020755177098325,7.792850719522976,0.9229937580201814,0.013573392234744122,138,0.7340425531914894
revl-n043-LKJS_Riga_org_X_district_committee-unk-1934-07-12.txt,43,LKJS Rīgas organizācijas X rajona komitejas uzsaukums krāsotavas un balinātavas «Tempo» strādniekiem prasīt darba apstākļu uzlabošanu un algas paaugstināšanu,LKJS Rīgas organizācijas X rajona komitejas,1934-07-10,?,?,300,172,0.5733333333333334,9.930424630061562,7.021870595978444,0.902470334323842,0.01709912082193082,118,0.686046511627907
revl-n044-LKP_CK-1000-[…1934-07-17].txt,44,"LKP CK lapiņa par strādnieku organizāciju slēgšanu pēc fašistiskā apvērsuma, ar aicinājumu strādniekiem cīnīties pret arodbiedrību fašizāciju",LKP CK,[…1934-07-17],1000,Spartaks,704,360,0.5113636363636364,13.568010505999363,9.59403223600247,0.8977128265929566,0.015600218255200981,261,0.725
revl-n045-LKP_Riga_committee-2000-[…1934-07-17].txt,45,"LKP Rīgas komitejas lāpiņa par progresīvo strādnieku un darbinieku atlaišanu no darba un uzņēmumu fašizāciju, ar aicinājumu strādniekiem rīkot protesta streikus",LKP Rīgas komiteja,[…1934-07-17],2000,Spartaks,548,319,0.5821167883211679,13.627004640582337,9.635747388616323,0.9141990859036802,0.013605640444193809,238,0.7460815047021944
revl-n046-LKJS_CK-5000-[…1934-07-17].txt,46,"LKJS CK lapiņa par imperiālistu gatavojamo uzbrukumu PSRS, ar aicinājumu jaunatnei vienotā revolucionārā frontē cīnīties pret karu un fašismu, atzīmēt Starptautisko pretkara dienu ar streikiem un demonstrācijām",LKJS CK,[…1934-07-17],5000,Spartaks,587,305,0.5195911413969335,12.58869723704819,8.901553182621129,0.8973003146302512,0.01610969184783787,210,0.6885245901639344
revl-n047-SP_CK-unk-[…1934-07-22].txt,47,"Latvijas Sarkanās Palīdzības CK lapiņa par imperiālistiska kara gatavošanu kapitālistiskajās valstīs, ar aicinājumu Latvijas darbaļaudīm cīnīties pret karu, par politieslodzīto atbrīvošanu",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-07-22],?,?,633,378,0.5971563981042654,15.024151173474404,10.623679176335576,0.9200715307902757,0.01239110700133333,284,0.7513227513227513
revl-n048-LKP_CK-5000-[…1934-07-22].txt,48,"LKP CK lapiņa 20. gadadienā kopš pirmā pasaules kara sākuma, ar aicinājumu darbaļaudīm sakļauties cīņai pret fašismu un karā gatavošanu",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-07-22],5000,Spartaks,1036,525,0.5067567567567568,16.310956357531502,11.533587848048354,0.9021010838014598,0.014100128189700837,363,0.6914285714285714
revl-n049-LKP_CK-3000-[…1934-07-30].txt,49,LKP CK uzsaukums darbaļaudīm sakļauties ap Latvijas Komunistisko partiju cīņai pret provokatoriem un strādnieku vienības jaucējiem,LKP CK,[…1934-07-30],3000,Spartaks,525,255,0.4857142857142857,11.129112402035613,7.869470848066688,0.8847056043448213,0.01840764243649949,173,0.6784313725490196
revl-n050-LKP_LKJS_Daugavpils_committee-3000-1934-07.txt,50,LKP un LKJS Daugavpils pilsētas komitejas lapiņa ar brīdinājumu darbaļaudīm par imperiālistu gatavojamo uzbrukumu PSRS un aicinājumu apvienot spēkus cīņai pret fašismu un karu,LKP Daugavpils pilsētas komiteja un LKJS Daugavpils pilsētas komiteja,1934-07,3000,Spartaks,906,463,0.5110375275938189,15.38214469038496,10.876818819763852,0.901408668420968,0.014479477522112824,332,0.7170626349892009
revl-n051-LKP_Riga_committee-3000-1934-07.txt,51,LKP Rīgas komitejas aicinājums strādniekiem atzīmēt Starptautisko pretkara dienu ar cīņas pastiprināšanu pret karu un fašismu,LKP Rīgas komiteja,1934-07,3000,Spartaks,98,64,0.6530612244897959,6.464976285134148,4.571428571428571,0.9070692655306586,0.020268570039298734,47,0.734375
revl-n052-LKJS_Riga_committee-unk-1934-07.txt,52,LKJS Rīgas komitejas uzsaukums darba jauniešiem atzīmēt Starptautisko pretkara dienu ar cīņas pastiprināšanu pret Latvijas buržuāzijas kara gatavošanas politiku,LKJS Rīgas komiteja,1934-07,?,?,889,466,0.5241844769403825,15.629138372099026,11.051469727014101,0.9048744695422063,0.014009450403782653,330,0.7081545064377682
revl-n053-LKP_LKJS_Ventspils_committee-2000-1934-07.txt,53,LKP un LKJS Ventspils rajona komiteju lapiņa ar aicinājumu strādniekiem Starptautiskajā pretkara dienā streikot un iziet demonstrācijās,LKP Ventspils rajona komiteja un LKJS Ventspils rajona komiteja,1934-07,2000,Spartaks,355,195,0.5492957746478874,10.349525402468366,7.3182195941478145,0.8979723751479463,0.017374928179219717,138,0.7076923076923077
revl-n054-United_antifascist_committee-unk-1934-07.txt,54,Vienotās pretfašisma cīņas komitejas lapiņa ar brīdinājumu strādniekiem sargāties no politpārvaldes provokatoriem un ar aicinājumu meklēt ceļu uz Latvijas Komunistiskās partijas rindām,Vienotās pretfašisma cīņas komiteja,1934-07,?,Spartaks,231,145,0.6277056277056277,9.54029957691665,6.746010525388914,0.9144343575097305,0.015721991041747128,105,0.7241379310344828
revl-n055-United_antifascist_committee-unk-1934-07.txt,55,"Vienotās pretfašisma cīņas komitejas lapiņa par fašistu represijām pret progresīvajiem strādniekiem un inteliģentiem, ar aicinājumu cīnīties pret fašistisko diktatūru",Vienotās pretfašisma cīņas komiteja,1934-07,?,Spartaks,247,156,0.631578947368421,9.926042302422132,7.0187718223872215,0.9165910439960568,0.015139422184022991,113,0.7243589743589743
revl-n056-LKP_soldiers_org-unk-1934-07.txt,56,LKP kareivju organizācijas uzsaukums Daugavpils garnizona kareivjiem prasīt savu biedru atbrīvošanu no koncentrācijas nometnes un cīnīties pret kara gatavošanu un fašismu,LKP kareivju organizācija,1934-07,?,Spartaks,260,147,0.5653846153846154,9.116552992306822,6.446376441906665,0.8974497944539491,0.01844202066416855,105,0.7142857142857143
revl-n057-LKJS_Riga_committee-2000-1934-08-10.txt,57,"LKJS Rīgas komitejas lapiņa par strādnieku jaunatnes uzdevumiem fašistiskās diktatūras apstākļos, ar aicinājumu pārvērst starptautisko jaunatnes dienu par revolucionārās jaunatnes spēku demonstrācijas dienu",LKJS Rīgas komiteja,1934-08-10,2000,Spartaks,644,317,0.4922360248447205,12.491549938889746,8.832859669319342,0.8904097141435655,0.016944247173127577,218,0.6876971608832808
revl-n058-LKJS_CK-3000-1934-08-16.txt,58,"LKJS CK lapiņa, kas veltīta Starptautiskajai jaunatnes dienai, ar aicinājumu sakļauties LKP un LKJS vadībā vienotā pretfašisma cīņas frontē pret imperiālistiska kara gatavošanu un intervences draudiem pret PSRS",LKJS CK,1934-08-16,3000,Spartaks,1120,519,0.46339285714285716,15.508091206113757,10.965876455102503,0.8904471040318732,0.01560341629944012,353,0.6801541425818882
revl-n059-LKP_Riga_committee-1000-1934-08-21.txt,59,LKP Rīgas komitejas lapiņa par fašistisko teroru Latvijā,LKP Rīgas komiteja,1934-08-21,1000,Spartaks,361,234,0.6481994459833795,12.31578947368421,8.708578252508007,0.926377003218128,0.012502041526891218,178,0.7606837606837606
revl-n060-LKP_Riga_committee-4000-[…1934-08-31].txt,60,"LKP Rīgas komitejas lapiņa par Rīgas pilsētas pašvaldības lēmumu maksāt angļu Lazaru bankai cara laiku parādus, ar aicinājumu pret maksāšanu",LKP Rīgas komiteja,[…1934-08-31],4000,Spartaks,347,209,0.6023054755043228,11.219707856285897,7.933531508111739,0.91332494825383,0.014817958483570034,151,0.722488038277512
revl-n061-LKJS_CK_LKJS_Riga_committee-unk-[1934-08-20..1934-08-31].txt,61,LKJS CK un LKJS. Rīgas komitejas aicinājums jaunajiem strādniekiem un strādniecēm atzīmēt Starptautisko jaunatnes dienu ar cīņas pastiprināšanu pret fašistisko diktatūru,LKJS CK un LKJS Rīgas komiteja,[1934-08-20..1934-08-31],?,?,134,91,0.6791044776119403,7.861202672790377,5.558709718211888,0.920989597610371,0.016131683684390996,72,0.7912087912087912
revl-n062-LKJS_Riga_committee-1000-1934-08.txt,62,LKJS Rīgas komitejas uzsaukums bijušo sociāldemokrātisko jaunatnes organizāciju biedriem kopā ar komunistisko jaunatni cīnīties pret fašistisko diktatūru,LKJS Rīgas komiteja,1934-08,1000,Spartaks,898,428,0.4766146993318486,14.282544987292397,10.099284413116386,0.8910252441810738,0.016025298591706254,307,0.7172897196261683
revl-n063-LKJS_Riga_org_IV_district_X_cell-50-1934-08-25.txt,63,LKJS Rīgas organizācijas IV rajona X šūnas uzsaukums Rīgas tapsētājiem cīnīties par ekonomiskā stāvokļa uzlabošanu,LKJS Rīgas organizācijas IV rajona X šūna,1934-08-25,50,Spartaks,297,184,0.6195286195286195,10.676762898616134,7.549611446732407,0.9159081654139077,0.014769194007741892,132,0.717391304347826
revl-n064-LKJS_CK_LKJS_Riga_committee-unk-[1934-08-20..1934-08-31].txt,64,"LKJS CK un LKJS Rīgas komitejas aicinājums Rīgas darba jaunatnei atzīmēt Starptautisko jaunatnes dienu ar streikiem, demonstrācijām un skrejošiem mītiņiem",LKJS CK un LKJS Rīgas komiteja,[1934-08-20..1934-08-31],?,?,130,80,0.6153846153846154,7.0164641544562345,4.9613893835683385,0.9002559055876308,0.02049170795350683,55,0.6875
